Magnitude,ComCat Data
0.0,2178.0
0.1,2162.0
0.2,2139.0
0.3,2090.0
0.4,1981.0
0.5,1767.0
0.6,1470.0
0.7,1180.0
0.8,943.0
0.9,775.0
1.0,612.0
1.1,494.0
1.2,392.0
1.3,313.0
1.4,241.0
1.5,204.0
1.6,176.0
1.7,148.0
1.8,122.0
1.9,103.0
2.0,82.0
2.1,71.0
2.2,57.0
2.3,47.0
2.4,34.0
2.5,24.0
2.6,20.0
2.7,15.0
2.8,14.0
2.9,12.0
3.0,12.0
3.1,10.0
3.2,9.0
3.3,7.0
3.4,7.0
3.5,5.0
3.6,3.0
3.7,1.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
