Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.00992,1.0E-5,9.0E-5,3.7E-4,0.00284,0.00991,0.00609
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.0048,5.0E-5,1.1E-4,2.9E-4,0.00143,0.00446,0.00136
881,Baker,5.0E-5,0.0,0.0,3.0E-5,4.0E-5,5.0E-5,1.0E-5
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Bicycle Lake,4.8E-4,0.0,0.0,2.0E-5,1.3E-4,4.5E-4,3.0E-5
741,Big Lagoon - Bald Mtn 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
192,Big Pine (Central),1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
191,Big Pine (East),3.0E-5,0.0,0.0,0.0,1.0E-5,3.0E-5,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.004,6.0E-5,2.7E-4,6.1E-4,0.0016,0.00382,0.00135
169,Blue Cut,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
170,Brawley (Seismic Zone) alt 1,5.0E-5,0.0,0.0,0.0,2.0E-5,5.0E-5,0.0
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Burnt Mtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Butano 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Cady,1.3E-4,0.0,0.0,0.0,3.0E-5,1.2E-4,0.0
602,Calaveras (Central) 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
601,Calaveras (No) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,Calaveras (So) - Paicines extension 2011 CFM,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
603,Calaveras (So) 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
88,Calico-Hidalgo,6.0E-5,0.0,0.0,0.0,3.0E-5,6.0E-5,0.0
724,Camp Rock 2011,2.0E-5,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
