Magnitude,ComCat Data
0.0,333.0
0.1,333.0
0.2,333.0
0.3,333.0
0.4,333.0
0.5,333.0
0.6,333.0
0.7,333.0
0.8,333.0
0.9,332.0
1.0,331.0
1.1,329.0
1.2,320.0
1.3,310.0
1.4,289.0
1.5,260.0
1.6,244.0
1.7,217.0
1.8,197.0
1.9,183.0
2.0,173.0
2.1,159.0
2.2,153.0
2.3,144.0
2.4,132.0
2.5,125.0
2.6,111.0
2.7,95.0
2.8,66.0
2.9,47.0
3.0,35.0
3.1,29.0
3.2,28.0
3.3,21.0
3.4,18.0
3.5,16.0
3.6,14.0
3.7,11.0
3.8,9.0
3.9,9.0
4.0,8.0
4.1,7.0
4.2,7.0
4.3,6.0
4.4,4.0
4.5,3.0
4.6,2.0
4.7,1.0
4.8,1.0
4.9,1.0
5.0,1.0
5.1,1.0
5.2,1.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
