Magnitude,ComCat Data
2.0,2897.0
2.1,2429.0
2.2,2058.0
2.3,1734.0
2.4,1450.0
2.5,1195.0
2.6,993.0
2.7,833.0
2.8,673.0
2.9,581.0
3.0,511.0
3.1,431.0
3.2,371.0
3.3,308.0
3.4,254.0
3.5,183.0
3.6,134.0
3.7,93.0
3.8,77.0
3.9,58.0
4.0,46.0
4.1,33.0
4.2,24.0
4.3,17.0
4.4,16.0
4.5,12.0
4.6,6.0
4.7,6.0
4.8,5.0
4.9,4.0
5.0,2.0
5.1,2.0
5.2,2.0
5.3,2.0
5.4,1.0
5.5,1.0
5.6,1.0
5.7,1.0
5.8,1.0
5.9,1.0
6.0,1.0
6.1,1.0
6.2,1.0
6.3,1.0
6.4,1.0
6.5,1.0
6.6,1.0
6.7,1.0
6.8,1.0
6.9,1.0
7.0,1.0
7.1,1.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
