Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1744885901000,ci40931039,1.66,33.0465,-116.588,14.38
1744884642040,ci40931015,0.68,33.059334,-116.60067,14.12
1744883374880,ci40930999,0.79,33.071835,-116.62517,13.83
1744877005780,ci40930935,0.59,33.072166,-116.62666,13.36
1744868088070,ci40930871,1.62,33.060665,-116.6175,13.06
1744857379140,ci40930751,0.99,33.044334,-116.59583,14.63
1744856017260,ci40930735,0.96,33.079666,-116.60833,13.11
1744849858590,ci40930687,1.06,33.06,-116.611664,12.83
1744846571710,ci40930639,1.16,33.137,-116.48016,13.69
1744846546750,ci40930631,1.4,33.056,-116.6105,13.2
1744846182950,ci40930615,1.22,33.092667,-116.644165,14.34
1744824967200,ci40930231,0.62,33.0375,-116.582664,13.89
1744812914290,ci40930023,0.68,33.050167,-116.60616,15.75
1744809837270,ci40929999,0.5,33.139,-116.639336,4.77
1744802804380,ci40929863,0.61,33.059,-116.5985,13.21
1744802761350,ci40929855,0.37,33.045,-116.577835,14.26
1744797409280,ci40929783,0.8,33.068832,-116.62233,14.07
1744796305620,ci40929767,0.48,33.0625,-116.598,17.28
1744795934210,ci40929759,0.63,33.051834,-116.563835,16.56
1744795004270,ci40929735,0.75,33.103832,-116.59167,16.08
1744794497690,ci40929719,0.56,33.037,-116.58033,13.73
1744791290120,ci40929695,0.5,33.044834,-116.494835,13.27
1744790208230,ci40929671,0.33,33.03583,-116.571335,12.6
1744788937090,ci40929655,0.81,33.0715,-116.59483,13.35
1744785389500,ci40929615,0.73,33.044834,-116.586,14.96
1744784749080,ci40929607,0.89,33.045834,-116.597664,13.41
1744782918580,ci40929591,0.27,33.051666,-116.597664,12.93
1744780667890,ci40929575,1.01,33.04933,-116.59433,13.64
1744773104810,ci40929487,0.91,33.053833,-116.609665,13.25
1744767054200,ci40929447,1.04,33.033833,-116.588165,14.0
1744762027810,ci40929399,0.52,33.09667,-116.55933,13.54
1744761008070,ci40929391,0.65,33.040165,-116.56883,14.44
1744760996540,ci37543101,0.57,33.044666,-116.57433,14.88
1744759983000,ci40929359,0.62,33.052666,-116.60817,13.36
1744758523830,ci40929335,0.8,33.04817,-116.58183,14.68
1744758502960,ci37544557,0.59,33.045834,-116.580666,14.6
1744758240210,ci40929327,0.82,33.05633,-116.60983,12.88
1744756219960,ci40929231,0.76,33.030334,-116.57383,13.31
1744747707720,ci40929055,0.6,33.051334,-116.574,15.14
1744745158290,ci37543797,0.16,33.0635,-116.611336,12.77
1744737357970,ci40928719,1.34,33.043835,-116.59534,13.79
1744733834120,ci40928615,0.7,33.093166,-116.6215,15.03
1744733735680,ci40928607,1.28,33.052166,-116.604164,12.49
1744733075240,ci40928591,0.6,33.037,-116.61533,8.97
1744731937270,ci40928559,0.6,33.038,-116.57333,12.87
1744731406090,ci40928535,0.23,33.053833,-116.60284,14.09
1744725157720,ci40928423,0.71,33.046833,-116.580666,14.54
1744725146390,ci37544549,0.39,33.051834,-116.587,14.32
1744725032280,ci40928407,0.89,33.046333,-116.583336,14.17
1744724893820,ci40928399,1.54,33.056835,-116.611,12.75
1744723733250,ci40928375,1.93,33.0425,-116.582,12.99
1744723614180,ci40928367,0.63,33.048668,-116.59583,13.25
1744722895130,ci40928343,0.62,33.04,-116.5835,13.19
1744720885040,ci40928303,0.63,33.046333,-116.57433,14.19
1744717851250,ci40928255,1.29,33.04817,-116.58933,14.37
1744717770810,ci40928239,0.53,33.0505,-116.6005,13.37
1744716235500,ci40928223,0.49,33.031834,-116.41116,9.66
1744716133780,ci40928215,1.65,33.046,-116.60183,13.19
1744712911550,ci40928151,0.42,33.029335,-116.572334,13.5
1744712292190,ci40928143,0.28,33.029,-116.57383,13.26
1744711308630,ci40928135,0.27,33.056,-116.60233,12.83
1744710883110,ci40928127,0.83,33.037334,-116.5835,13.44
1744710711100,ci40928111,0.39,33.059666,-116.6085,12.41
1744710150720,ci40928103,0.81,33.059834,-116.60833,12.3
1744709602180,ci40928095,1.07,33.054165,-116.6085,12.92
1744708375710,ci40928087,0.61,33.04817,-116.59583,13.4
1744706957460,ci40928063,0.79,33.049835,-116.58033,15.5
1744705154390,ci40928039,0.7,33.047832,-116.58417,14.82
1744704388860,ci37543605,0.08,33.049835,-116.570335,13.82
1744702632800,ci40927999,0.16,33.03417,-116.58183,12.99
1744700588580,ci40927983,0.51,33.050835,-116.5795,15.6
1744700006360,ci40927975,0.69,33.0435,-116.5915,13.26
1744699743510,ci40927959,0.25,33.049,-116.592834,13.3
1744699440440,ci40927951,0.42,33.0525,-116.59967,13.23
1744698486570,ci37544541,0.51,33.051666,-116.58117,15.25
1744698464740,ci40927943,0.77,33.04933,-116.58083,14.57
1744697954780,ci40927927,0.7,33.035,-116.58183,13.26
1744694982570,ci40927895,1.08,33.047165,-116.58117,15.01
1744694214790,ci40927879,0.64,33.079666,-116.57467,14.2
1744692317870,ci40927847,0.85,33.05633,-116.60183,12.99
1744691863510,ci40927839,1.17,33.02717,-116.5805,13.96
1744691863450,ci40927831,1.19,33.029335,-116.57867,14.11
1744691735530,ci37543013,0.09,33.082,-116.568665,13.5
1744691720690,ci40927823,0.88,33.059,-116.62016,13.67
1744691699650,ci40927815,0.87,33.079666,-116.571,15.56
1744691340750,ci40927799,0.45,33.038666,-116.59583,14.11
1744691330230,ci37542981,0.12,33.036835,-116.58466,14.09
1744691310400,ci37542989,0.0,33.054,-116.581665,14.34
1744691242460,ci40927791,0.7,33.034668,-116.5805,15.95
1744690795490,ci40927783,1.25,33.090168,-116.63067,13.86
1744689269230,ci40927759,0.87,33.07033,-116.6265,12.98
1744688596670,ci40927743,2.12,33.071335,-116.6315,12.78
1744687801880,ci40927703,1.47,33.067833,-116.6225,14.59
1744687612150,ci40927687,0.7,33.0385,-116.589165,14.69
1744685792310,ci40927671,0.63,33.04933,-116.601166,13.86
1744685561710,ci40927663,0.72,33.058834,-116.6075,11.85
1744684996120,ci40927655,0.97,33.088,-116.62967,17.46
1744683275440,ci37542941,0.3,33.062332,-116.616165,12.89
1744683251920,ci40927631,0.67,33.0515,-116.601166,12.79
1744683188450,ci40927623,1.12,33.052666,-116.606,13.1
1744683158000,ci40927615,0.73,33.063,-116.606834,13.78
1744681449520,ci40927591,1.99,33.029,-116.5885,13.8
1744680996440,ci40927567,0.93,33.058167,-116.61367,14.96
1744680634730,ci40927559,0.79,33.047832,-116.5935,13.42
1744680341090,ci40927543,0.35,33.047,-116.599,13.47
1744680086700,ci40927535,0.86,33.052334,-116.60516,13.0
1744679466310,ci40927527,0.82,33.0285,-116.5885,14.38
1744678060250,ci40927519,1.08,33.0755,-116.573166,16.37
1744677204960,ci40927511,0.7,33.051334,-116.59233,12.78
1744676706660,ci40927487,0.82,33.066833,-116.62334,12.98
1744676605960,ci40927479,0.6,33.030167,-116.577,14.44
1744674702080,ci37543789,0.7,33.06983,-116.618835,13.92
1744674382370,ci40927423,1.7,33.038334,-116.5925,12.79
1744673716050,ci40927415,0.63,33.051,-116.607,13.07
1744672506430,ci40927375,1.76,33.065,-116.62783,13.82
1744671073040,ci40927319,0.84,33.034668,-116.575836,12.93
1744669602010,ci40927279,1.48,33.0695,-116.62517,14.3
1744668360670,ci40927271,0.97,33.041332,-116.587166,12.93
1744668157990,ci40927263,1.6,33.046665,-116.60284,13.31
1744667359000,ci40927247,1.27,33.052,-116.612335,12.7
1744666325550,ci40927231,0.73,33.05467,-116.60333,16.69
1744664622330,ci40927191,1.48,33.054165,-116.60817,15.33
1744663992950,ci40927159,0.72,33.0315,-116.574,12.68
1744663387410,ci40927151,1.37,33.064,-116.557335,15.81
1744663319450,ci40927143,0.5,33.039333,-116.5835,12.87
1744663261370,ci40927135,0.89,33.051,-116.583,14.3
1744663171320,ci40927127,1.21,33.0625,-116.55483,14.62
1744663099280,ci40927119,1.04,33.080334,-116.623665,15.74
1744662979190,ci40927111,1.34,33.0455,-116.6025,13.02
1744662404660,ci40927103,0.89,33.065,-116.56133,15.58
1744662209620,ci40927095,2.88,33.039165,-116.59417,12.72
1744661685730,ci37717116,0.94,33.080833,-116.56917,16.59
1744661671520,ci40927087,1.0,33.079834,-116.574,15.97
1744661583060,ci40927079,1.21,33.0825,-116.58134,15.3
1744661491410,ci40927071,1.64,33.037834,-116.58867,12.81
1744661425170,ci40927063,1.54,33.091,-116.6325,13.62
1744661033490,ci40927055,1.98,33.065,-116.60934,12.81
1744660767680,ci40927047,1.25,33.046165,-116.602165,13.03
1744660607850,ci40927039,0.9,33.04767,-116.61217,12.3
1744660551760,ci40927031,1.89,33.056667,-116.61483,11.96
1744660488070,ci37715540,0.75,33.06167,-116.609,12.75
1744660480300,ci40927023,0.76,33.048332,-116.60467,16.66
1744660461110,ci37715532,0.71,33.048832,-116.581665,14.66
1744659270190,ci40927015,2.58,33.038334,-116.59267,12.76
1744659245390,ci40926999,1.14,33.041668,-116.57833,13.16
1744658851800,ci40926983,1.1,33.036667,-116.5875,15.94
1744658734130,ci40926975,1.03,33.059,-116.60233,13.03
1744658626720,ci40926959,1.16,33.032833,-116.58833,14.04
1744658510490,ci40926951,0.96,33.0315,-116.5835,13.68
1744658446820,ci40926935,0.74,33.053,-116.61633,13.84
1744658354380,ci40926919,0.57,33.066166,-116.61867,14.73
1744658255750,ci37715516,0.61,33.035168,-116.58117,14.65
1744658224150,ci40926927,0.6,33.04067,-116.587166,13.62
1744658064140,ci40926911,0.93,33.0765,-116.61567,16.05
