Magnitude,ComCat Data
0.0,339.0
0.1,336.0
0.2,330.0
0.3,321.0
0.4,312.0
0.5,308.0
0.6,286.0
0.7,243.0
0.8,204.0
0.9,171.0
1.0,137.0
1.1,112.0
1.2,90.0
1.3,78.0
1.4,65.0
1.5,56.0
1.6,50.0
1.7,43.0
1.8,36.0
1.9,32.0
2.0,26.0
2.1,25.0
2.2,17.0
2.3,16.0
2.4,13.0
2.5,11.0
2.6,6.0
2.7,5.0
2.8,4.0
2.9,2.0
3.0,1.0
3.1,1.0
3.2,1.0
3.3,1.0
3.4,1.0
3.5,1.0
3.6,1.0
3.7,1.0
3.8,1.0
3.9,1.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
