Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1722969858470,ci40864592,1.55,34.636333,-117.12283,-0.94
1722937257140,ci40863968,2.06,35.036167,-116.98317,2.04
1722848465460,ci40862576,2.15,35.038666,-116.981,1.72
1722847800550,ci40862568,1.35,34.791332,-116.444664,2.1
1722694326740,ci40860800,1.7,35.036335,-116.986664,2.11
1722312489650,ci40675751,2.66,34.939667,-116.810165,2.6
1722297979880,ci40675591,2.05,34.944332,-116.80167,2.75
1722297758350,ci40675583,2.0,34.9445,-116.799835,2.26
1722295167090,ci40675535,2.19,34.940834,-116.807,1.98
1722292519540,ci40675479,1.89,34.939835,-116.821,2.07
1722285332910,ci40675295,2.2,34.944332,-116.80117,2.81
1722283519460,ci40675239,2.68,34.949,-116.78467,7.32
1722283413150,ci40675231,3.51,34.946,-116.794334,2.84
