Magnitude,ComCat Data
2.0,44.0
2.1,34.0
2.2,26.0
2.3,20.0
2.4,18.0
2.5,16.0
2.6,15.0
2.7,9.0
2.8,9.0
2.9,9.0
3.0,7.0
3.1,6.0
3.2,6.0
3.3,5.0
3.4,4.0
3.5,3.0
3.6,3.0
3.7,3.0
3.8,1.0
3.9,1.0
4.0,1.0
4.1,1.0
4.2,1.0
4.3,1.0
4.4,1.0
4.5,1.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
