Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1622915739650,ci39919384,2.89,33.138,-115.63067,4.57
1622915656700,ci39919376,2.48,33.152832,-115.63033,3.92
1622915639180,ci39919368,2.54,33.137,-115.63233,4.78
1622915583430,ci39919360,2.78,33.14467,-115.62666,5.0
1622915549340,ci39919352,3.14,33.144165,-115.62517,5.72
1622915526490,ci39919344,2.61,33.1435,-115.61733,5.04
1622915451080,ci39919336,3.99,33.147335,-115.639336,5.35
1622915437590,ci39919328,2.62,33.1425,-115.6245,4.42
1622915413150,ci39919320,2.41,33.156334,-115.61967,4.64
1622915371650,ci39919312,2.57,33.127167,-115.63167,6.22
1622915356920,ci39919304,2.75,33.140167,-115.64767,3.51
1622915270830,ci39919280,3.89,33.142,-115.63333,4.33
1622915240050,ci39919272,3.21,33.151,-115.62617,3.64
1622915199490,ci39919264,3.79,33.1365,-115.638664,5.6
1622915181010,ci39919256,3.56,33.144833,-115.6365,5.72
1622915116380,ci39919248,4.32,33.1375,-115.64,4.59
1622915098560,ci39919240,2.09,33.141335,-115.62717,3.28
1622915016700,ci39919232,2.38,33.14,-115.633,3.61
1622914930980,ci39919216,3.3,33.138332,-115.64867,3.27
1622914852080,ci39919208,3.55,33.138668,-115.65117,1.86
1622914777514,us7000ea21,2.8,33.1565,-115.6812,5.0
1622914608650,ci39919176,1.54,33.203835,-115.57716,18.57
1622914510640,ci39919160,2.21,33.1515,-115.574,10.85
1622914449180,ci39919152,2.74,33.137665,-115.64083,4.86
1622914420180,ci39919136,2.58,33.136,-115.64183,4.92
1622914395600,ci39919112,1.45,33.1305,-115.635666,3.78
1622914153700,ci39919088,1.34,33.129833,-115.62767,6.42
1622914010060,ci39919080,2.15,33.146,-115.635666,5.95
1622913951480,ci39919072,2.51,33.1325,-115.63167,3.23
1622913922600,ci39919064,1.7,33.142666,-115.629166,3.58
1622913694560,ci39919056,1.94,33.1405,-115.626335,3.31
1622913551670,ci39919048,1.25,33.13117,-115.638336,5.23
1622913458830,ci39919040,1.65,33.138668,-115.6345,5.7
1622913352470,ci39919032,1.49,33.2105,-115.568665,18.63
1622913259020,ci39919024,1.6,33.1345,-115.6405,6.04
1622912773460,ci39918976,1.29,33.212334,-115.5705,1.07
1622912535300,ci39918968,1.16,33.144333,-115.636,3.68
1622912186820,ci39918952,1.55,33.149166,-115.6205,3.51
1622911725350,ci39918936,1.26,33.140335,-115.626,3.3
1622911648060,ci39918928,1.17,33.178165,-115.6555,10.51
1622911534020,ci39918920,1.51,33.1425,-115.628,3.84
1622911199460,ci39918912,1.81,33.1375,-115.6285,3.59
1622911034020,ci39918904,2.21,33.1355,-115.63533,5.13
1622910525340,ci39918888,1.57,33.1415,-115.63233,4.06
1622910138120,ci39918880,1.44,33.140335,-115.62767,4.11
1622909662480,ci39918872,2.15,33.133,-115.63583,3.83
1622908187610,ci39918800,2.1,33.132,-115.629166,3.49
1622907912590,ci39918784,1.6,33.153667,-115.49683,1.15
1622907705530,ci39918776,1.32,33.135334,-115.655334,5.63
1622907221920,ci39918760,1.94,33.1375,-115.62783,4.69
1622907179620,ci39918744,1.53,33.12583,-115.623,5.94
1622906948940,ci39918736,1.95,33.136665,-115.632,5.47
1622906817900,ci39918728,1.99,33.139668,-115.63433,5.45
1622906703110,ci39918720,1.41,33.140335,-115.627335,6.22
1622906687800,ci39918712,1.46,33.129333,-115.62967,5.84
1622906531110,ci39918696,1.39,33.1465,-115.612,1.65
1622906364590,ci39918688,1.66,33.134335,-115.627335,4.05
1622906350560,ci39918680,1.34,33.146667,-115.631165,4.55
1622906001520,ci39918664,1.32,33.1895,-115.686165,10.17
1622905972780,ci39918656,1.55,33.11717,-115.61317,2.05
1622905908640,ci39918648,1.83,33.135,-115.6355,4.91
1622905869500,ci39918640,1.41,33.142166,-115.63133,3.8
1622905702000,ci39918632,2.96,33.1425,-115.635666,5.23
1622905653810,ci39918624,1.54,33.130833,-115.631,6.74
1622905425210,ci39918608,1.93,33.139668,-115.6375,5.07
1622905245560,ci39918600,1.38,33.144333,-115.628,5.22
1622905145240,ci39918584,2.24,33.1405,-115.63517,4.34
1622905097220,ci39918576,1.49,33.127666,-115.6275,6.16
1622904262680,ci39918560,2.05,33.131332,-115.63033,4.87
1622903885370,ci39918552,2.12,33.130333,-115.63333,3.66
