Magnitude,ComCat Data
0.0,283.0
0.1,283.0
0.2,283.0
0.3,283.0
0.4,283.0
0.5,283.0
0.6,283.0
0.7,283.0
0.8,283.0
0.9,283.0
1.0,282.0
1.1,282.0
1.2,278.0
1.3,267.0
1.4,250.0
1.5,230.0
1.6,200.0
1.7,180.0
1.8,157.0
1.9,139.0
2.0,120.0
2.1,106.0
2.2,93.0
2.3,79.0
2.4,65.0
2.5,51.0
2.6,42.0
2.7,34.0
2.8,30.0
2.9,24.0
3.0,21.0
3.1,19.0
3.2,16.0
3.3,12.0
3.4,9.0
3.5,7.0
3.6,5.0
3.7,4.0
3.8,3.0
3.9,3.0
4.0,3.0
4.1,1.0
4.2,1.0
4.3,1.0
4.4,1.0
4.5,1.0
4.6,1.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
