Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1707734014030,ci40667104,1.56,32.822166,-115.57533,13.33
1707733973570,ci40667096,1.82,32.823166,-115.586,12.82
1707733894560,ci40667080,1.44,32.776833,-115.54017,11.59
1707733747280,ci40667064,1.39,32.78583,-115.559166,10.66
1707733586090,ci40667056,1.83,32.829834,-115.55717,9.0
1707733525420,ci40667048,2.62,32.824165,-115.590164,13.4
1707733470230,ci40667040,1.76,32.783333,-115.5435,11.17
1707733406310,ci40667024,1.6,32.7865,-115.5465,12.4
1707733124260,ci37623804,3.7,32.786,-115.534,15.95
1707733115990,ci40667016,3.67,32.788666,-115.55016,15.79
1707733021320,ci40667008,1.36,32.793335,-115.5635,12.1
1707732882090,ci40667000,1.12,32.797,-115.572334,11.45
1707732855520,ci40666992,1.23,32.7995,-115.574,11.31
1707732788760,ci40666984,1.51,32.784668,-115.586334,4.32
1707732727990,ci40666976,1.3,32.787334,-115.55867,10.01
1707732589180,ci40666960,1.72,32.808167,-115.55383,0.01
1707732586630,ci40666968,1.86,32.7045,-115.652664,8.65
1707732564750,ci40666952,1.36,32.802,-115.56683,11.04
1707732312670,ci40666944,1.28,32.770332,-115.5495,7.77
1707732225330,ci40666936,1.2,32.808334,-115.59133,11.03
1707732180220,ci40666920,1.57,32.780334,-115.554665,9.67
1707732085900,ci40666912,1.75,32.782333,-115.55217,10.99
1707731939020,ci40666904,1.35,32.786335,-115.5375,11.73
1707731807840,ci40666896,1.27,32.781166,-115.542336,11.04
1707731603850,ci40666888,1.24,32.819332,-115.579666,12.14
1707731589710,ci40666880,1.11,32.962334,-115.57283,0.05
1707731516290,ci40666872,1.7,32.7855,-115.54266,10.57
1707731489270,ci40666864,1.63,32.77667,-115.55983,3.75
1707731442920,ci40666856,1.78,32.78533,-115.55,10.02
1707731428570,ci40666848,1.44,32.78533,-115.551,10.88
1707731295400,ci40666840,1.9,32.786835,-115.55483,10.83
1707731192650,ci40666832,1.67,32.792168,-115.5485,8.43
1707731168530,ci40666824,1.66,32.786335,-115.550835,10.41
