Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1715573254610,ci40747552,3.56,32.431168,-115.22667,10.15
1715572938780,ci40747544,4.16,32.433167,-115.23,11.53
1715571987230,ci40747512,2.4,32.411167,-115.2745,2.46
1715564652640,ci40747448,2.57,32.4305,-115.2425,10.18
1715563741460,ci40747432,1.97,32.432667,-115.22417,8.89
1715559914220,ci40747392,2.04,32.424667,-115.21283,11.78
1715558652040,ci40747376,3.28,32.43,-115.221664,12.06
1715558588350,ci40747360,1.83,32.421333,-115.245834,11.14
1715555240280,ci40747320,1.63,32.408333,-115.2625,6.79
1715546785140,ci40747224,2.56,32.390167,-115.261,5.97
1715546009840,ci40747208,1.98,32.427334,-115.2435,10.73
1715545321800,ci40747192,1.83,32.4165,-115.2675,-0.1
1715544907590,ci40747184,1.77,32.432835,-115.2305,11.64
1715544405870,ci40747144,2.07,32.399334,-115.262665,6.5
1715544016280,ci40747136,2.19,32.428165,-115.2585,6.33
1715543771330,ci40747128,2.54,32.426167,-115.24683,10.45
1715542362500,ci40747112,2.67,32.42433,-115.26833,4.56
1715542229770,ci40747104,1.88,32.35533,-115.252335,6.81
