Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1733469933960,nc75097301,2.63,40.35483,-124.7175,18.91
1733469802660,nc75097291,2.25,40.3085,-124.51317,19.99
1733469219130,nc75097281,3.31,40.341667,-124.744,17.34
1733468763040,nc75097276,2.66,40.281166,-124.4915,21.65
1733468510050,nc75097271,4.21,40.328835,-124.71983,0.11
1733468165400,nc75097261,2.6,40.500668,-125.1215,0.09
1733465476550,nc75097236,3.07,40.395332,-124.6745,14.87
1733465393240,nc75097231,2.08,40.28367,-124.447,19.41
1733464836700,nc75097221,2.63,40.381332,-125.03533,24.63
1733463862690,nc75097206,3.12,40.349335,-125.08733,24.25
1733463384420,nc75097201,1.71,40.294,-124.4725,19.33
1733462442050,nc75097186,2.13,40.301167,-124.5,14.03
1733462030870,nc75097181,3.9,40.46467,-124.535164,17.78
1733461311290,nc75097166,2.52,40.381332,-124.9195,6.99
1733460768390,nc75097156,2.67,40.345165,-124.9825,1.97
1733459054750,nc75097131,3.75,40.362835,-125.0335,0.15
1733458133540,nc75097111,2.61,40.304333,-124.503,18.5
1733457584740,nc75097106,1.84,40.307335,-124.51,14.29
1733457370260,nc75097096,1.88,40.3045,-124.44417,9.92
1733455930110,nc75097086,3.8,40.357834,-125.012,0.22
1733455333730,nc75097061,2.63,40.298,-124.485,11.56
1733455275170,nc75097056,2.18,40.2925,-124.626,15.75
1733454874180,nc75097046,3.8,40.3735,-125.07066,0.47
1733454812950,nc75097041,2.91,40.3705,-124.915665,0.46
1733453722370,nc75097016,2.31,40.2975,-124.68684,10.11
1733452794050,nc75096996,2.83,40.266,-124.61183,4.39
1733452338280,nc75096991,2.45,40.304333,-124.51383,5.77
1733452031820,nc75096986,2.48,40.29767,-124.719666,9.71
1733451524290,nc75096971,2.64,40.343334,-124.9145,16.63
1733451478350,nc75096976,2.32,40.396,-124.54784,14.63
1733450890840,nc75096961,2.12,40.331165,-124.5735,10.67
1733449918640,nc75096951,2.24,40.322834,-124.58933,10.2
1733449673180,nc75096941,2.4,40.356834,-124.512665,15.34
1733449472440,nc75096931,3.12,40.370667,-125.048164,17.17
1733448321600,nc75096906,2.94,40.3375,-124.626,9.74
1733448058610,nc75096901,3.01,40.3725,-124.694336,0.47
1733446843830,nc75096876,2.66,40.316334,-124.60233,20.15
1733446438020,nc75096866,2.21,40.227,-124.83567,1.29
1733445989610,nc75096856,2.33,40.316,-124.51183,13.87
1733445843310,nc75096851,2.41,40.263,-125.01833,5.59
1733445668580,nc75096846,1.87,40.28367,-124.49233,12.56
1733444739660,nc75096821,2.57,40.287,-124.814,13.85
1733444640010,nc75096811,2.45,40.247334,-124.7625,1.11
1733444390050,nc75096796,2.4,40.3075,-124.5385,15.43
1733443995810,nc75096791,2.8,40.230167,-124.75767,9.41
1733443823000,nc75096786,2.89,40.282665,-124.779,-0.28
1733442288440,nc75096746,3.24,40.4515,-125.048836,0.3
1733441603090,nc75096721,3.11,40.406834,-125.15667,0.03
1733441484140,nc75096711,3.37,40.494335,-125.00833,0.21
1733441217220,nc75096706,2.73,40.403168,-125.005,10.12
1733440581550,nc75096681,3.54,40.386166,-124.993835,1.95
1733440431500,nc75096661,3.15,40.487167,-124.7,4.9
1733440421060,nc75096666,3.26,40.329334,-124.86533,0.83
1733440355760,nc75096656,2.09,40.29117,-124.48517,19.74
1733440008700,nc75096651,2.93,40.363667,-124.9255,0.0
1733439914110,nc75096641,2.36,40.2865,-124.46433,6.41
1733439871290,nc75096636,3.61,40.323,-124.7995,16.96
1733439690830,nc75096626,2.74,40.2945,-124.508835,19.74
1733439554320,nc75096616,2.94,40.407333,-125.0395,9.85
1733439441930,nc75096611,2.13,40.324,-124.553665,11.68
1733439355780,nc75096606,2.86,40.37,-125.14433,2.01
1733438919470,nc75096586,2.87,40.25733,-124.646164,0.86
1733438713740,nc75096581,3.8,40.367332,-125.040665,-0.02
1733438483200,nc75096576,3.3,40.3185,-124.72117,17.35
1733438278340,nc75096566,1.89,40.25083,-124.49883,12.29
1733437375410,nc75096536,2.53,40.314,-124.492,10.91
1733437258240,nc75096526,2.48,40.366665,-124.81783,10.57
1733437168970,nc75096521,1.72,40.328667,-124.466835,12.19
1733436894420,nc75096506,2.59,40.2875,-124.51183,18.22
1733436370930,nc75096486,3.24,40.365166,-125.0235,0.15
1733436264470,nc75096481,3.42,40.308,-124.511,10.3
1733436143170,nc75096471,2.4,40.293,-124.4545,17.0
1733435860580,nc75096461,2.27,40.371834,-124.58517,13.44
1733435575570,nc75096446,3.42,40.379665,-125.11733,10.5
1733435231930,nc75096436,4.24,40.3485,-124.9125,2.34
1733434799940,nc75096621,3.58,40.404335,-125.182,1.92
1733434547210,nc75096416,2.51,40.292168,-124.505165,17.94
1733434488130,nc75096411,2.5,40.234333,-124.642334,7.45
1733434311830,nc75096406,2.96,40.310833,-124.61083,20.84
1733433108750,nc75096351,2.97,40.31283,-124.692665,7.05
1733432914630,nc75096341,3.66,40.359165,-124.975334,1.49
1733432846100,nc75096336,3.29,40.3455,-124.93684,10.58
1733432673740,nc75096326,2.49,40.320667,-124.89066,11.43
1733432215060,nc75096291,2.56,40.306168,-124.63,12.8
1733432083050,nc75096281,2.31,40.313667,-124.483,12.31
1733432035550,nc75096391,3.34,40.324333,-125.05967,0.11
1733431605490,nc75096256,2.91,40.416332,-125.075165,7.41
1733431166940,nc75096241,3.63,40.3815,-125.0465,0.46
1733430752070,nc75096226,3.38,40.345665,-124.786,21.35
1733430527690,nc75096211,3.41,40.313,-124.505165,10.83
1733430069480,nc75096371,2.94,40.260834,-124.54633,3.49
1733429769460,nc75096191,2.17,40.322,-124.4805,10.22
1733429529640,nc75096186,3.95,40.372166,-124.89283,0.91
1733429375040,nc75096176,2.85,40.239166,-124.90466,7.86
1733429334870,nc75096171,2.99,40.309,-124.61567,21.35
1733429085350,nc75001648,4.43,40.33967,-124.756,12.46
1733429062680,nc75096156,4.04,40.340332,-124.90884,8.0
1733428821140,nc75096151,3.85,40.4835,-124.52,24.93
1733428683410,nc75096146,3.51,40.299168,-124.5075,8.2
1733428099860,nc75096111,3.11,40.484,-125.06033,0.13
1733428011730,nc75096106,3.44,40.376667,-124.97667,-0.01
1733427487690,nc75096066,3.26,40.351166,-124.4905,19.8
1733427398000,nc75096071,4.17,40.381,-124.9485,4.23
1733427083290,nc75096051,3.08,40.303,-124.80217,-0.42
1733426934610,nc75096036,3.09,40.265335,-124.586334,17.16
1733426477040,nc75096026,3.78,40.314667,-124.530334,10.55
1733426327540,nc75001653,2.91,40.330334,-124.974335,1.9
1733426299030,nc75095996,3.55,40.363335,-124.696,15.6
1733426082550,nc75095981,3.71,40.351665,-124.97117,0.17
1733425807340,nc75095961,4.24,40.38817,-124.891,0.1
1733425366050,nc75095901,3.33,40.481335,-124.62417,-0.27
1733424387619,us7000nwbj,4.7,40.4422,-125.0287,10.0
